metric_name,metric_date_start,metric_date_end,metric_text,metric_value,metric_numerator,metric_denominator,mmwr_year,mmwr_week
Influenza-Like Illness Activity Level (Inner Metro Boston),08/05/2023 12:00:00 PM,08/11/2023 12:00:00 PM,Minimal,1,,,2023,32
Influenza-Like Illness Activity Level (Inner Metro Boston),07/29/2023 12:00:00 PM,08/04/2023 12:00:00 PM,Minimal,1,,,2023,31
Influenza-Like Illness Activity Level (Inner Metro Boston),07/22/2023 12:00:00 PM,07/28/2023 12:00:00 PM,Minimal,1,,,2023,30
Influenza-Like Illness Activity Level (Inner Metro Boston),07/15/2023 12:00:00 PM,07/21/2023 12:00:00 PM,Minimal,1,,,2023,29
Influenza-Like Illness Activity Level (Inner Metro Boston),07/08/2023 12:00:00 PM,07/14/2023 12:00:00 PM,Minimal,1,,,2023,28
Influenza-Like Illness Activity Level (Inner Metro Boston),07/01/2023 12:00:00 PM,07/07/2023 12:00:00 PM,Minimal,1,,,2023,27
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19684 12:00:00 AM,11/30/2023 12:00:00 PM,,575,,,2023,48
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19683 12:00:00 AM,11/29/2023 12:00:00 PM,,506,,,2023,48
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19682 12:00:00 AM,11/28/2023 12:00:00 PM,,476,,,2023,48
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19681 12:00:00 AM,11/27/2023 12:00:00 PM,,475,,,2023,48
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19680 12:00:00 AM,11/26/2023 12:00:00 PM,,407,,,2023,48
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19679 12:00:00 AM,11/25/2023 12:00:00 PM,,392,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19678 12:00:00 AM,11/24/2023 12:00:00 PM,,358,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19677 12:00:00 AM,11/23/2023 12:00:00 PM,,339,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19676 12:00:00 AM,11/22/2023 12:00:00 PM,,357,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19675 12:00:00 AM,11/21/2023 12:00:00 PM,,363,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19674 12:00:00 AM,11/20/2023 12:00:00 PM,,443,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19673 12:00:00 AM,11/19/2023 12:00:00 PM,,463,,,2023,47
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19672 12:00:00 AM,11/18/2023 12:00:00 PM,,461,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19671 12:00:00 AM,11/17/2023 12:00:00 PM,,457,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19670 12:00:00 AM,11/16/2023 12:00:00 PM,,433,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19669 12:00:00 AM,11/15/2023 12:00:00 PM,,422,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19668 12:00:00 AM,11/14/2023 12:00:00 PM,,414,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19667 12:00:00 AM,11/13/2023 12:00:00 PM,,299,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19666 12:00:00 AM,11/12/2023 12:00:00 PM,,301,,,2023,46
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19665 12:00:00 AM,11/11/2023 12:00:00 PM,,288,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19664 12:00:00 AM,11/10/2023 12:00:00 PM,,278,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19663 12:00:00 AM,11/09/2023 12:00:00 PM,,263,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19662 12:00:00 AM,11/08/2023 12:00:00 PM,,266,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19661 12:00:00 AM,11/07/2023 12:00:00 PM,,276,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19660 12:00:00 AM,11/06/2023 12:00:00 PM,,305,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19659 12:00:00 AM,11/05/2023 12:00:00 PM,,347,,,2023,45
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19658 12:00:00 AM,11/04/2023 12:00:00 PM,,348,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19657 12:00:00 AM,11/03/2023 12:00:00 PM,,373,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19656 12:00:00 AM,11/02/2023 12:00:00 PM,,403,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19655 12:00:00 AM,11/01/2023 12:00:00 PM,,399,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19654 12:00:00 AM,10/31/2023 12:00:00 PM,,398,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19653 12:00:00 AM,10/30/2023 12:00:00 PM,,392,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19652 12:00:00 AM,10/29/2023 12:00:00 PM,,365,,,2023,44
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19651 12:00:00 AM,10/28/2023 12:00:00 PM,,372,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19650 12:00:00 AM,10/27/2023 12:00:00 PM,,382,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19649 12:00:00 AM,10/26/2023 12:00:00 PM,,411,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19648 12:00:00 AM,10/25/2023 12:00:00 PM,,418,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19647 12:00:00 AM,10/24/2023 12:00:00 PM,,407,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19646 12:00:00 AM,10/23/2023 12:00:00 PM,,428,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19645 12:00:00 AM,10/22/2023 12:00:00 PM,,412,,,2023,43
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19644 12:00:00 AM,10/21/2023 12:00:00 PM,,418,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19643 12:00:00 AM,10/20/2023 12:00:00 PM,,412,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19642 12:00:00 AM,10/19/2023 12:00:00 PM,,389,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19641 12:00:00 AM,10/18/2023 12:00:00 PM,,377,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19640 12:00:00 AM,10/17/2023 12:00:00 PM,,384,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19639 12:00:00 AM,10/16/2023 12:00:00 PM,,407,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19638 12:00:00 AM,10/15/2023 12:00:00 PM,,438,,,2023,42
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19637 12:00:00 AM,10/14/2023 12:00:00 PM,,464,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19636 12:00:00 AM,10/13/2023 12:00:00 PM,,496,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19635 12:00:00 AM,10/12/2023 12:00:00 PM,,545,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19634 12:00:00 AM,10/11/2023 12:00:00 PM,,606,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19633 12:00:00 AM,10/10/2023 12:00:00 PM,,660,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19632 12:00:00 AM,10/09/2023 12:00:00 PM,,661,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19631 12:00:00 AM,10/08/2023 12:00:00 PM,,672,,,2023,41
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19630 12:00:00 AM,10/07/2023 12:00:00 PM,,710,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19629 12:00:00 AM,10/06/2023 12:00:00 PM,,693,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19628 12:00:00 AM,10/05/2023 12:00:00 PM,,695,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19627 12:00:00 AM,10/04/2023 12:00:00 PM,,695,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19626 12:00:00 AM,10/03/2023 12:00:00 PM,,635,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19625 12:00:00 AM,10/02/2023 12:00:00 PM,,609,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19624 12:00:00 AM,10/01/2023 12:00:00 PM,,621,,,2023,40
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19623 12:00:00 AM,09/30/2023 12:00:00 PM,,586,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19622 12:00:00 AM,09/29/2023 12:00:00 PM,,575,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19621 12:00:00 AM,09/28/2023 12:00:00 PM,,566,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19620 12:00:00 AM,09/27/2023 12:00:00 PM,,542,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19619 12:00:00 AM,09/26/2023 12:00:00 PM,,566,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19618 12:00:00 AM,09/25/2023 12:00:00 PM,,583,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19617 12:00:00 AM,09/24/2023 12:00:00 PM,,547,,,2023,39
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19616 12:00:00 AM,09/23/2023 12:00:00 PM,,546,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19615 12:00:00 AM,09/22/2023 12:00:00 PM,,547,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19614 12:00:00 AM,09/21/2023 12:00:00 PM,,522,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19613 12:00:00 AM,09/20/2023 12:00:00 PM,,555,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19612 12:00:00 AM,09/19/2023 12:00:00 PM,,576,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19611 12:00:00 AM,09/18/2023 12:00:00 PM,,570,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19610 12:00:00 AM,09/17/2023 12:00:00 PM,,611,,,2023,38
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19609 12:00:00 AM,09/16/2023 12:00:00 PM,,644,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19608 12:00:00 AM,09/15/2023 12:00:00 PM,,708,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19607 12:00:00 AM,09/14/2023 12:00:00 PM,,801,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19606 12:00:00 AM,09/13/2023 12:00:00 PM,,779,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19605 12:00:00 AM,09/12/2023 12:00:00 PM,,705,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19604 12:00:00 AM,09/11/2023 12:00:00 PM,,698,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19603 12:00:00 AM,09/10/2023 12:00:00 PM,,684,,,2023,37
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19602 12:00:00 AM,09/09/2023 12:00:00 PM,,643,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19601 12:00:00 AM,09/08/2023 12:00:00 PM,,622,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19600 12:00:00 AM,09/07/2023 12:00:00 PM,,572,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19599 12:00:00 AM,09/06/2023 12:00:00 PM,,604,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19598 12:00:00 AM,09/05/2023 12:00:00 PM,,633,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19597 12:00:00 AM,09/04/2023 12:00:00 PM,,613,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19596 12:00:00 AM,09/03/2023 12:00:00 PM,,634,,,2023,36
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19595 12:00:00 AM,09/02/2023 12:00:00 PM,,666,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19594 12:00:00 AM,09/01/2023 12:00:00 PM,,635,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19593 12:00:00 AM,08/31/2023 12:00:00 PM,,581,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19592 12:00:00 AM,08/30/2023 12:00:00 PM,,530,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19591 12:00:00 AM,08/29/2023 12:00:00 PM,,532,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19590 12:00:00 AM,08/28/2023 12:00:00 PM,,523,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19589 12:00:00 AM,08/27/2023 12:00:00 PM,,486,,,2023,35
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19588 12:00:00 AM,08/26/2023 12:00:00 PM,,447,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19587 12:00:00 AM,08/25/2023 12:00:00 PM,,400,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19586 12:00:00 AM,08/24/2023 12:00:00 PM,,424,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19585 12:00:00 AM,08/23/2023 12:00:00 PM,,406,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19584 12:00:00 AM,08/22/2023 12:00:00 PM,,406,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19583 12:00:00 AM,08/21/2023 12:00:00 PM,,343,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19582 12:00:00 AM,08/20/2023 12:00:00 PM,,343,,,2023,34
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19581 12:00:00 AM,08/19/2023 12:00:00 PM,,343,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19580 12:00:00 AM,08/18/2023 12:00:00 PM,,400,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19579 12:00:00 AM,08/17/2023 12:00:00 PM,,400,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19578 12:00:00 AM,08/16/2023 12:00:00 PM,,439,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19577 12:00:00 AM,08/15/2023 12:00:00 PM,,439,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19576 12:00:00 AM,08/14/2023 12:00:00 PM,,492,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19575 12:00:00 AM,08/13/2023 12:00:00 PM,,492,,,2023,33
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19574 12:00:00 AM,08/12/2023 12:00:00 PM,,492,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19573 12:00:00 AM,08/11/2023 12:00:00 PM,,519,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19572 12:00:00 AM,08/10/2023 12:00:00 PM,,519,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19571 12:00:00 AM,08/09/2023 12:00:00 PM,,481,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19570 12:00:00 AM,08/08/2023 12:00:00 PM,,481,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19569 12:00:00 AM,08/07/2023 12:00:00 PM,,557,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19568 12:00:00 AM,08/06/2023 12:00:00 PM,,557,,,2023,32
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19567 12:00:00 AM,08/05/2023 12:00:00 PM,,557,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19566 12:00:00 AM,08/04/2023 12:00:00 PM,,454,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19565 12:00:00 AM,08/03/2023 12:00:00 PM,,454,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19564 12:00:00 AM,08/02/2023 12:00:00 PM,,443,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19563 12:00:00 AM,08/01/2023 12:00:00 PM,,443,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19562 12:00:00 AM,07/31/2023 12:00:00 PM,,375,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19561 12:00:00 AM,07/30/2023 12:00:00 PM,,375,,,2023,31
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19560 12:00:00 AM,07/29/2023 12:00:00 PM,,375,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19559 12:00:00 AM,07/28/2023 12:00:00 PM,,418,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19558 12:00:00 AM,07/27/2023 12:00:00 PM,,418,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19557 12:00:00 AM,07/26/2023 12:00:00 PM,,338,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19556 12:00:00 AM,07/25/2023 12:00:00 PM,,338,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19555 12:00:00 AM,07/24/2023 12:00:00 PM,,334,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19554 12:00:00 AM,07/23/2023 12:00:00 PM,,334,,,2023,30
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19553 12:00:00 AM,07/22/2023 12:00:00 PM,,334,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19552 12:00:00 AM,07/21/2023 12:00:00 PM,,277,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19551 12:00:00 AM,07/20/2023 12:00:00 PM,,277,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19550 12:00:00 AM,07/19/2023 12:00:00 PM,,278,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19549 12:00:00 AM,07/18/2023 12:00:00 PM,,278,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19548 12:00:00 AM,07/17/2023 12:00:00 PM,,296,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19547 12:00:00 AM,07/16/2023 12:00:00 PM,,296,,,2023,29
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19546 12:00:00 AM,07/15/2023 12:00:00 PM,,296,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19545 12:00:00 AM,07/14/2023 12:00:00 PM,,261,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19544 12:00:00 AM,07/13/2023 12:00:00 PM,,261,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19543 12:00:00 AM,07/12/2023 12:00:00 PM,,257,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19542 12:00:00 AM,07/11/2023 12:00:00 PM,,257,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19541 12:00:00 AM,07/10/2023 12:00:00 PM,,241,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19540 12:00:00 AM,07/09/2023 12:00:00 PM,,241,,,2023,28
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19539 12:00:00 AM,07/08/2023 12:00:00 PM,,241,,,2023,27
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19538 12:00:00 AM,07/07/2023 12:00:00 PM,,286,,,2023,27
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19537 12:00:00 AM,07/06/2023 12:00:00 PM,,286,,,2023,27
"MWRA Wastewater COVID RNA Copies/mL, 7-Day Average (Northern Metro Area)",01/01/19536 12:00:00 AM,07/05/2023 12:00:00 PM,,249,,,2023,27
