url,date,title,pageviews,id
/departments/programs/inclusionary-housing-program,01/10/2020 12:00:00 AM,Inclusionary Housing Program,70,20200110:/departments/programs/inclusionary-housing-program
/departments/personnel?page=1,01/10/2020 12:00:00 AM,Personnel,65,20200110:/departments/personnel?page=1
/departments/programs/lead-service-line-replacement-program,01/10/2020 12:00:00 AM,Lead Service Line Replacement Program,63,20200110:/departments/programs/lead-service-line-replacement-program
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/10/2020 12:00:00 AM,Reports and Decisions,62,20200110:/departments/ospcd/planning-and-zoning/reports-and-decisions
/payments,01/10/2020 12:00:00 AM,Pay Bills & More,61,20200110:/payments
/,12/22/2022 12:00:00 AM,Home,751,20221222:/
/departments/programs/lead-service-line-replacement-program,01/07/2020 12:00:00 AM,Lead Service Line Replacement Program,146,20200107:/departments/programs/lead-service-line-replacement-program
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/07/2020 12:00:00 AM,Somerville Waste Wizard,133,20200107:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/isd/building-division,01/07/2020 12:00:00 AM,ISD - Building Division,117,20200107:/departments/isd/building-division
/jobs/all,01/07/2020 12:00:00 AM,Job Postings,113,20200107:/jobs/all
/payments,01/07/2020 12:00:00 AM,Pay Bills & More,101,20200107:/payments
/departments/water-and-sewer,01/07/2020 12:00:00 AM,Water and Sewer,98,20200107:/departments/water-and-sewer
/planningandzoning,01/07/2020 12:00:00 AM,Planning and Zoning,94,20200107:/planningandzoning
/citycouncil,01/07/2020 12:00:00 AM,City Council,81,20200107:/citycouncil
/departments/programs/inclusionary-housing-program,01/07/2020 12:00:00 AM,Inclusionary Housing Program,81,20200107:/departments/programs/inclusionary-housing-program
/departments/finance/purchasing,01/07/2020 12:00:00 AM,Purchasing,72,20200107:/departments/finance/purchasing
/residents/job-postings/somerstat-analyst-3,01/07/2020 12:00:00 AM,SomerStat Analyst,64,20200107:/residents/job-postings/somerstat-analyst-3
/departments/sweeping,01/07/2020 12:00:00 AM,Street Sweeping,56,20200107:/departments/sweeping
/climateforward/ambassadors,01/10/2020 12:00:00 AM,Climate Forward Ambassadors,53,20200110:/climateforward/ambassadors
/departments/parking-department,01/14/2020 12:00:00 AM,Parking Department,1003,20200114:/departments/parking-department
/,01/14/2020 12:00:00 AM,Home,952,20200114:/
/departments/finance/assessing,01/14/2020 12:00:00 AM,Assessing,306,20200114:/departments/finance/assessing
/departments/dpw-sanitation/somerville-trash-recycling-information,01/14/2020 12:00:00 AM,Somerville Trash & Recycling Information,227,20200114:/departments/dpw-sanitation/somerville-trash-recycling-information
/departments,01/14/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",205,20200114:/departments
/departments/personnel,01/14/2020 12:00:00 AM,Personnel,203,20200114:/departments/personnel
/citizenserve,01/14/2020 12:00:00 AM,Apply for a License or Permit,160,20200114:/citizenserve
/payonline,01/14/2020 12:00:00 AM,Pay Bills & More,142,20200114:/payonline
/jobs/all,01/14/2020 12:00:00 AM,Job Postings,136,20200114:/jobs/all
/departments/programs/lead-service-line-replacement-program,01/14/2020 12:00:00 AM,Lead Service Line Replacement Program,115,20200114:/departments/programs/lead-service-line-replacement-program
/departments/isd/building-division,01/14/2020 12:00:00 AM,ISD - Building Division,112,20200114:/departments/isd/building-division
/news/somerville-marijuana-retail-host-community-agreements-announced,01/14/2020 12:00:00 AM,Somerville Marijuana Retail Host Community Agreements Announced,111,20200114:/news/somerville-marijuana-retail-host-community-agreements-announced
/planningandzoning,01/14/2020 12:00:00 AM,Planning and Zoning,104,20200114:/planningandzoning
/departments/programs/inclusionary-housing-program,01/14/2020 12:00:00 AM,Inclusionary Housing Program,87,20200114:/departments/programs/inclusionary-housing-program
/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets,01/14/2020 12:00:00 AM,Somerville Releases Draft 5-Year Vision Zero Plan to Create Safer Streets,84,20200114:/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/14/2020 12:00:00 AM,Somerville Waste Wizard,78,20200114:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/payments,01/14/2020 12:00:00 AM,Pay Bills & More,78,20200114:/payments
/events,01/14/2020 12:00:00 AM,Calendar,76,20200114:/events
/departments/finance/purchasing,01/14/2020 12:00:00 AM,Purchasing,72,20200114:/departments/finance/purchasing
/departments/personnel?page=1,01/14/2020 12:00:00 AM,Personnel,68,20200114:/departments/personnel?page=1
/departments/parking-department,01/15/2020 12:00:00 AM,Parking Department,924,20200115:/departments/parking-department
/,01/15/2020 12:00:00 AM,Home,849,20200115:/
/departments/finance/assessing,01/15/2020 12:00:00 AM,Assessing,292,20200115:/departments/finance/assessing
/departments,01/15/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",243,20200115:/departments
/departments/personnel,01/15/2020 12:00:00 AM,Personnel,163,20200115:/departments/personnel
/departments/dpw-sanitation/somerville-trash-recycling-information,01/15/2020 12:00:00 AM,Somerville Trash & Recycling Information,159,20200115:/departments/dpw-sanitation/somerville-trash-recycling-information
/payonline,01/15/2020 12:00:00 AM,Pay Bills & More,146,20200115:/payonline
/citizenserve,01/15/2020 12:00:00 AM,Apply for a License or Permit,133,20200115:/citizenserve
/planningandzoning,01/15/2020 12:00:00 AM,Planning and Zoning,98,20200115:/planningandzoning
/departments/isd/building-division,01/15/2020 12:00:00 AM,ISD - Building Division,91,20200115:/departments/isd/building-division
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/15/2020 12:00:00 AM,Somerville Waste Wizard,90,20200115:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/jobs/all,01/15/2020 12:00:00 AM,Job Postings,86,20200115:/jobs/all
/citycouncil,01/15/2020 12:00:00 AM,City Council,79,20200115:/citycouncil
/departments/parking-department,01/11/2020 12:00:00 AM,Parking Department,829,20200111:/departments/parking-department
/,01/11/2020 12:00:00 AM,Home,794,20200111:/
/departments/finance/assessing,01/11/2020 12:00:00 AM,Assessing,296,20200111:/departments/finance/assessing
/departments/personnel,01/11/2020 12:00:00 AM,Personnel,241,20200111:/departments/personnel
/departments,01/11/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",189,20200111:/departments
/payonline,01/11/2020 12:00:00 AM,Pay Bills & More,130,20200111:/payonline
/visionzero,01/11/2020 12:00:00 AM,Vision Zero Somerville,125,20200111:/visionzero
/departments/programs/lead-service-line-replacement-program,01/11/2020 12:00:00 AM,Lead Service Line Replacement Program,121,20200111:/departments/programs/lead-service-line-replacement-program
/jobs/all,01/11/2020 12:00:00 AM,Job Postings,111,20200111:/jobs/all
/planningandzoning,01/11/2020 12:00:00 AM,Planning and Zoning,105,20200111:/planningandzoning
/departments/dpw-sanitation/somerville-trash-recycling-information,01/11/2020 12:00:00 AM,Somerville Trash & Recycling Information,98,20200111:/departments/dpw-sanitation/somerville-trash-recycling-information
/citizenserve,01/11/2020 12:00:00 AM,Apply for a License or Permit,96,20200111:/citizenserve
/departments/isd/building-division,01/11/2020 12:00:00 AM,ISD - Building Division,77,20200111:/departments/isd/building-division
/departments/personnel?page=1,01/11/2020 12:00:00 AM,Personnel,76,20200111:/departments/personnel?page=1
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/11/2020 12:00:00 AM,Somerville Waste Wizard,74,20200111:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/water-and-sewer,01/11/2020 12:00:00 AM,Water and Sewer,69,20200111:/departments/water-and-sewer
/moving,01/11/2020 12:00:00 AM,Moving to Somerville: A New Resident's Guide,63,20200111:/moving
/departments/finance/purchasing,01/11/2020 12:00:00 AM,Purchasing,57,20200111:/departments/finance/purchasing
/payments,01/11/2020 12:00:00 AM,Pay Bills & More,56,20200111:/payments
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/11/2020 12:00:00 AM,Reports and Decisions,54,20200111:/departments/ospcd/planning-and-zoning/reports-and-decisions
/moving,01/12/2020 12:00:00 AM,Moving to Somerville: A New Resident's Guide,37,20200112:/moving
/events/2020/01/22/community-dialogue-next-steps-police-community-relations,01/12/2020 12:00:00 AM,Community Dialogue: Next Steps for Police-Community Relations,35,20200112:/events/2020/01/22/community-dialogue-next-steps-police-community-relations
/visionzero,01/12/2020 12:00:00 AM,Vision Zero Somerville,35,20200112:/visionzero
/departments/finance/purchasing,01/12/2020 12:00:00 AM,Purchasing,27,20200112:/departments/finance/purchasing
/311,01/12/2020 12:00:00 AM,311 Service Center,25,20200112:/311
/departments/water-and-sewer,01/12/2020 12:00:00 AM,Water and Sewer,22,20200112:/departments/water-and-sewer
/departments/finance/purchasing,01/15/2020 12:00:00 AM,Purchasing,79,20200115:/departments/finance/purchasing
/departments/programs/inclusionary-housing-program,01/15/2020 12:00:00 AM,Inclusionary Housing Program,72,20200115:/departments/programs/inclusionary-housing-program
/departments/finance/assessing/assessors-maps,01/15/2020 12:00:00 AM,Assessor's Maps,60,20200115:/departments/finance/assessing/assessors-maps
/departments/water-and-sewer,01/15/2020 12:00:00 AM,Water and Sewer,60,20200115:/departments/water-and-sewer
/events,01/15/2020 12:00:00 AM,Calendar,57,20200115:/events
/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability,01/15/2020 12:00:00 AM,Office of Housing Stability,56,20200115:/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability
/isd,01/15/2020 12:00:00 AM,Inspectional Services Department (ISD),55,20200115:/isd
/departments/finance/assessing,01/18/2020 12:00:00 AM,Assessing,207,20200118:/departments/finance/assessing
/departments/parking-department,01/12/2020 12:00:00 AM,Parking Department,656,20200112:/departments/parking-department
/,01/12/2020 12:00:00 AM,Home,417,20200112:/
/departments/finance/assessing,01/12/2020 12:00:00 AM,Assessing,168,20200112:/departments/finance/assessing
/departments/dpw-sanitation/somerville-trash-recycling-information,01/12/2020 12:00:00 AM,Somerville Trash & Recycling Information,199,20200112:/departments/dpw-sanitation/somerville-trash-recycling-information
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/12/2020 12:00:00 AM,Somerville Waste Wizard,104,20200112:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/personnel,01/12/2020 12:00:00 AM,Personnel,68,20200112:/departments/personnel
/departments,01/12/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",71,20200112:/departments
/payonline,01/12/2020 12:00:00 AM,Pay Bills & More,82,20200112:/payonline
/departments/parking-department,01/13/2020 12:00:00 AM,Parking Department,656,20200113:/departments/parking-department
/,01/13/2020 12:00:00 AM,Home,417,20200113:/
/departments/dpw-sanitation/somerville-trash-recycling-information,01/13/2020 12:00:00 AM,Somerville Trash & Recycling Information,199,20200113:/departments/dpw-sanitation/somerville-trash-recycling-information
/departments/finance/assessing,01/13/2020 12:00:00 AM,Assessing,168,20200113:/departments/finance/assessing
/,01/22/2020 12:00:00 AM,Home,980,20200122:/
/citizenserve,01/12/2020 12:00:00 AM,Apply for a License or Permit,54,20200112:/citizenserve
/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets,01/12/2020 12:00:00 AM,Somerville Releases Draft 5-Year Vision Zero Plan to Create Safer Streets,50,20200112:/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets
/departments/sweeping,01/12/2020 12:00:00 AM,Street Sweeping,49,20200112:/departments/sweeping
/citycouncil,01/12/2020 12:00:00 AM,City Council,38,20200112:/citycouncil
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/12/2020 12:00:00 AM,Reports and Decisions,37,20200112:/departments/ospcd/planning-and-zoning/reports-and-decisions
/climateforward/ambassadors,01/12/2020 12:00:00 AM,Climate Forward Ambassadors,31,20200112:/climateforward/ambassadors
/departments/isd/building-division,01/12/2020 12:00:00 AM,ISD - Building Division,29,20200112:/departments/isd/building-division
/jobs/all,01/12/2020 12:00:00 AM,Job Postings,49,20200112:/jobs/all
/departments/personnel?page=1,01/12/2020 12:00:00 AM,Personnel,28,20200112:/departments/personnel?page=1
/news/christmas-tree-disposal-and-mulching,01/12/2020 12:00:00 AM,Christmas Tree Disposal and Mulching,38,20200112:/news/christmas-tree-disposal-and-mulching
/events,01/12/2020 12:00:00 AM,Calendar,32,20200112:/events
/departments/programs/lead-service-line-replacement-program,01/12/2020 12:00:00 AM,Lead Service Line Replacement Program,31,20200112:/departments/programs/lead-service-line-replacement-program
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/13/2020 12:00:00 AM,Somerville Waste Wizard,104,20200113:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/payonline,01/13/2020 12:00:00 AM,Pay Bills & More,82,20200113:/payonline
/departments,01/13/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",71,20200113:/departments
/departments/personnel,01/13/2020 12:00:00 AM,Personnel,68,20200113:/departments/personnel
/citizenserve,01/13/2020 12:00:00 AM,Apply for a License or Permit,54,20200113:/citizenserve
/departments/personnel,01/08/2020 12:00:00 AM,Personnel,286,20200108:/departments/personnel
/,01/08/2020 12:00:00 AM,Home,1057,20200108:/
/departments/finance/assessing,01/08/2020 12:00:00 AM,Assessing,273,20200108:/departments/finance/assessing
/departments,01/08/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",264,20200108:/departments
/departments/dpw-sanitation/somerville-trash-recycling-information,01/08/2020 12:00:00 AM,Somerville Trash & Recycling Information,218,20200108:/departments/dpw-sanitation/somerville-trash-recycling-information
/citizenserve,01/08/2020 12:00:00 AM,Apply for a License or Permit,194,20200108:/citizenserve
/payonline,01/08/2020 12:00:00 AM,Pay Bills & More,171,20200108:/payonline
/departments/programs/lead-service-line-replacement-program,01/08/2020 12:00:00 AM,Lead Service Line Replacement Program,133,20200108:/departments/programs/lead-service-line-replacement-program
/planningandzoning,01/08/2020 12:00:00 AM,Planning and Zoning,128,20200108:/planningandzoning
/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets,01/13/2020 12:00:00 AM,Somerville Releases Draft 5-Year Vision Zero Plan to Create Safer Streets,50,20200113:/news/somerville-releases-draft-5-year-vision-zero-plan-create-safer-streets
/departments/sweeping,01/13/2020 12:00:00 AM,Street Sweeping,49,20200113:/departments/sweeping
/jobs/all,01/13/2020 12:00:00 AM,Job Postings,49,20200113:/jobs/all
/citycouncil,01/13/2020 12:00:00 AM,City Council,38,20200113:/citycouncil
/news/christmas-tree-disposal-and-mulching,01/13/2020 12:00:00 AM,Christmas Tree Disposal and Mulching,38,20200113:/news/christmas-tree-disposal-and-mulching
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/13/2020 12:00:00 AM,Reports and Decisions,37,20200113:/departments/ospcd/planning-and-zoning/reports-and-decisions
/events,01/13/2020 12:00:00 AM,Calendar,32,20200113:/events
/,01/19/2020 12:00:00 AM,Home,2023,20200119:/
/snow,01/19/2020 12:00:00 AM,Winter Guide,965,20200119:/snow
/departments/winter-guide,01/19/2020 12:00:00 AM,Winter Guide,942,20200119:/departments/winter-guide
/departments/parking-department,01/19/2020 12:00:00 AM,Parking Department,931,20200119:/departments/parking-department
/snow/snow-emergency-parking-exceptions,01/19/2020 12:00:00 AM,Snow Emergency Parking Exceptions,562,20200119:/snow/snow-emergency-parking-exceptions
/alerts,01/19/2020 12:00:00 AM,Alerts,345,20200119:/alerts
/departments/dpw-sanitation/somerville-trash-recycling-information,01/19/2020 12:00:00 AM,Somerville Trash & Recycling Information,152,20200119:/departments/dpw-sanitation/somerville-trash-recycling-information
/departments/finance/assessing,01/19/2020 12:00:00 AM,Assessing,129,20200119:/departments/finance/assessing
/news/winter-season-park-odd-side-road-during-snow-emergencies,01/19/2020 12:00:00 AM,This Winter Season: Park on the Odd Side of the Road During Snow Emergencies,110,20200119:/news/winter-season-park-odd-side-road-during-snow-emergencies
/page/alerts,01/19/2020 12:00:00 AM,Alerts,90,20200119:/page/alerts
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/19/2020 12:00:00 AM,Somerville Waste Wizard,88,20200119:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/programs/somerville-business-loyalty-program/,01/19/2020 12:00:00 AM,Somerville Business Loyalty Program,84,20200119:/departments/programs/somerville-business-loyalty-program/
/jobs/all,01/08/2020 12:00:00 AM,Job Postings,125,20200108:/jobs/all
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/08/2020 12:00:00 AM,Somerville Waste Wizard,101,20200108:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/departments/isd/building-division,01/08/2020 12:00:00 AM,ISD - Building Division,86,20200108:/departments/isd/building-division
/departments/ospcd/planning-and-zoning/reports-and-decisions,01/08/2020 12:00:00 AM,Reports and Decisions,74,20200108:/departments/ospcd/planning-and-zoning/reports-and-decisions
/departments/personnel?page=1,01/08/2020 12:00:00 AM,Personnel,70,20200108:/departments/personnel?page=1
/departments/finance/purchasing,01/08/2020 12:00:00 AM,Purchasing,69,20200108:/departments/finance/purchasing
/events,01/08/2020 12:00:00 AM,Calendar,69,20200108:/events
/departments/programs/inclusionary-housing-program,01/08/2020 12:00:00 AM,Inclusionary Housing Program,65,20200108:/departments/programs/inclusionary-housing-program
/citycouncil,01/08/2020 12:00:00 AM,City Council,61,20200108:/citycouncil
/departments/planning-board,01/08/2020 12:00:00 AM,Planning Board,61,20200108:/departments/planning-board
/departments/parking-department,01/08/2020 12:00:00 AM,Parking Department,835,20200108:/departments/parking-department
/climateforward/ambassadors,01/13/2020 12:00:00 AM,Climate Forward Ambassadors,31,20200113:/climateforward/ambassadors
/departments/programs/lead-service-line-replacement-program,01/13/2020 12:00:00 AM,Lead Service Line Replacement Program,31,20200113:/departments/programs/lead-service-line-replacement-program
/departments/isd/building-division,01/13/2020 12:00:00 AM,ISD - Building Division,29,20200113:/departments/isd/building-division
/departments/personnel?page=1,01/13/2020 12:00:00 AM,Personnel,28,20200113:/departments/personnel?page=1
/departments/parking-department,01/16/2020 12:00:00 AM,Parking Department,924,20200116:/departments/parking-department
/,01/16/2020 12:00:00 AM,Home,849,20200116:/
/departments/finance/assessing,01/16/2020 12:00:00 AM,Assessing,292,20200116:/departments/finance/assessing
/departments,01/16/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",243,20200116:/departments
/departments/personnel,01/16/2020 12:00:00 AM,Personnel,163,20200116:/departments/personnel
/departments/dpw-sanitation/somerville-trash-recycling-information,01/16/2020 12:00:00 AM,Somerville Trash & Recycling Information,159,20200116:/departments/dpw-sanitation/somerville-trash-recycling-information
/payonline,01/16/2020 12:00:00 AM,Pay Bills & More,146,20200116:/payonline
/citizenserve,01/16/2020 12:00:00 AM,Apply for a License or Permit,133,20200116:/citizenserve
/planningandzoning,01/16/2020 12:00:00 AM,Planning and Zoning,98,20200116:/planningandzoning
/departments/isd/building-division,01/16/2020 12:00:00 AM,ISD - Building Division,91,20200116:/departments/isd/building-division
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/16/2020 12:00:00 AM,Somerville Waste Wizard,90,20200116:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/jobs/all,01/16/2020 12:00:00 AM,Job Postings,86,20200116:/jobs/all
/citycouncil,01/16/2020 12:00:00 AM,City Council,79,20200116:/citycouncil
/departments/finance/purchasing,01/16/2020 12:00:00 AM,Purchasing,79,20200116:/departments/finance/purchasing
/departments/programs/inclusionary-housing-program,01/16/2020 12:00:00 AM,Inclusionary Housing Program,72,20200116:/departments/programs/inclusionary-housing-program
/departments/finance/assessing/assessors-maps,01/16/2020 12:00:00 AM,Assessor's Maps,60,20200116:/departments/finance/assessing/assessors-maps
/departments/water-and-sewer,01/16/2020 12:00:00 AM,Water and Sewer,60,20200116:/departments/water-and-sewer
/events,01/16/2020 12:00:00 AM,Calendar,57,20200116:/events
/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability,01/16/2020 12:00:00 AM,Office of Housing Stability,56,20200116:/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability
/isd,01/16/2020 12:00:00 AM,Inspectional Services Department (ISD),55,20200116:/isd
/departments/parking-department,01/17/2020 12:00:00 AM,Parking Department,952,20200117:/departments/parking-department
/,01/17/2020 12:00:00 AM,Home,885,20200117:/
/departments/finance/assessing,01/17/2020 12:00:00 AM,Assessing,227,20200117:/departments/finance/assessing
/departments,01/17/2020 12:00:00 AM,"Departments, Boards, Commissions, and Authorities",213,20200117:/departments
/departments/personnel,01/17/2020 12:00:00 AM,Personnel,155,20200117:/departments/personnel
/citizenserve,01/17/2020 12:00:00 AM,Apply for a License or Permit,144,20200117:/citizenserve
/departments/dpw-sanitation/somerville-trash-recycling-information,01/17/2020 12:00:00 AM,Somerville Trash & Recycling Information,138,20200117:/departments/dpw-sanitation/somerville-trash-recycling-information
/payonline,01/17/2020 12:00:00 AM,Pay Bills & More,125,20200117:/payonline
/departments/finance/purchasing,01/17/2020 12:00:00 AM,Purchasing,103,20200117:/departments/finance/purchasing
/jobs/all,01/17/2020 12:00:00 AM,Job Postings,85,20200117:/jobs/all
/departments/isd/building-division,01/17/2020 12:00:00 AM,ISD - Building Division,83,20200117:/departments/isd/building-division
/departments/parking-department,01/18/2020 12:00:00 AM,Parking Department,879,20200118:/departments/parking-department
/,01/18/2020 12:00:00 AM,Home,733,20200118:/
/,12/23/2022 12:00:00 AM,Home,774,20221223:/
/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability,01/17/2020 12:00:00 AM,Office of Housing Stability,80,20200117:/departments/office-strategic-planning-and-community-development-ospcd/office-housing-stability
/planningandzoning,01/17/2020 12:00:00 AM,Planning and Zoning,77,20200117:/planningandzoning
/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard,01/17/2020 12:00:00 AM,Somerville Waste Wizard,72,20200117:/departments/dpw-sanitation/somerville-trash-recycling-information/waste-wizard
/events,01/17/2020 12:00:00 AM,Calendar,65,20200117:/events
/citycouncil,01/17/2020 12:00:00 AM,City Council,55,20200117:/citycouncil
/departments/contact-us,01/17/2020 12:00:00 AM,Contact Us,54,20200117:/departments/contact-us
/departments/programs/inclusionary-housing-program,01/17/2020 12:00:00 AM,Inclusionary Housing Program,52,20200117:/departments/programs/inclusionary-housing-program
/departments/personnel?page=1,01/17/2020 12:00:00 AM,Personnel,50,20200117:/departments/personnel?page=1
/departments/water-and-sewer,01/17/2020 12:00:00 AM,Water and Sewer,50,20200117:/departments/water-and-sewer
/departments/parking-department,08/25/2020 12:00:00 AM,Parking Department,1363,20200825:/departments/parking-department
/,08/25/2020 12:00:00 AM,Home,1241,20200825:/
/covid19,08/25/2020 12:00:00 AM,Coronavirus Disease 2019 (COVID-19) Information,912,20200825:/covid19
/departments/elections/vote-by-mail,08/25/2020 12:00:00 AM,Vote by Mail,638,20200825:/departments/elections/vote-by-mail
/departments/elections,08/25/2020 12:00:00 AM,Elections,453,20200825:/departments/elections
/parking,08/25/2020 12:00:00 AM,Parking Department,401,20200825:/parking
/departments/dpw-sanitation/somerville-trash-recycling-information,08/25/2020 12:00:00 AM,Somerville Trash & Recycling Information,359,20200825:/departments/dpw-sanitation/somerville-trash-recycling-information
