Timestamp,How long have you lived in Somerville?,Do you rent or own your place of residence?,"If you own, what type of home do you own?","If a Condo, how many units are in your building?",Are you interested in reducing your energy use?,Have you had an energy audit done in your home?,Please select any measures you have taken to reduce your energy usage.,Would you be interested in a program offered through the City where Somerville residents can receive information on solar for their homes and reduced pricing for solar? ,"If you own a business or commercial building, are you interested in a commercial solar program offered through the City of Somerville?",Are you interested in installing solar PV on your house?,"If you’ve been thinking about installing solar panels, what has held you back?","If you were to install solar PV on your home or business, is your preference to:",Would you like to volunteer on a residential solar outreach effort to get your friends and neighbors to install solar on their homes?,"If solar was not a good fit for your home, the City of Somerville could potentially offer a “community solar project”, where people can opt in to purchase solar shares of a solar project located inside or near Somerville, in essence retaining the same ben",There are various ways in funding a community solar project. Would you be interested in purchasing shares of a community solar project where you could receive the same benefits of owning a system of your own?  Knowing you could receive the energy output f,Please indicate if you would like further information on the following in regards to solar panels (select any and all that you may have),Do you own an electric vehicle?,"If no, have you considered purchasing one?",Would your preference be to charge an electric vehicle in your driveway or charge it in a public lot?
02/18/2015 02:39:16 PM,2-5 years,Own,Condo,3,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, energy efficient shower heads","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,don't know,No,Somewhat interested,Yes,"Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 12:57:20 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Installed energy star rated windows, Shut off lights when not in use, insulated attic","Yes, somewhat interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/27/2015 08:54:14 PM,5-10 years,Own,Single family,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, solar panels on roof","Yes, somewhat interested",,"No, I already have solar PV",,Lease the system,No,Somewhat interested,Yes,,No,No,Driveway
01/24/2015 03:22:05 PM,5-10 years,Own,Condo,,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",,Lease the system,No,Somewhat interested,Yes,,No,No,Driveway
01/24/2015 12:52:31 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Lack of understanding,Most cost effective,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 10:45:19 AM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,expansion plans,need to evaluate,No,Somewhat interested,Yes,,No,No,Driveway
01/23/2015 01:13:56 PM,10-15 years,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Purchase the system outright,No,Somewhat interested,Yes,"Interconnection & Net Metering, Financing Options",No,No,Driveway
01/08/2015 05:02:08 PM,20+ years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, storm windows","Yes, very interested",,"Yes, but I don't think my roof is suitable",Cost,Purchase the system outright,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/26/2015 11:28:18 PM,10-15 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",lack of time,Purchase the system outright,No,Somewhat interested,Yes,,No,No,Driveway
01/09/2015 02:36:58 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",roof orientation,Purchase the system outright,No,Somewhat interested,Yes,Financing Options,No,No,Driveway
01/25/2015 09:15:47 PM,15-20 years,Rent,,,Yes,Yes,"Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, applied weather stripping and draft dodgers","Yes, very interested",,Yes,Not the property owner,,"Maybe, let's talk",Somewhat interested,,"Permitting, Planning & Zoning, Financing Options",No,No,Driveway
01/23/2015 05:25:19 PM,5-10 years,Own,Condo,,,No,"Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 10:27:40 AM,5-10 years,Own,Condo,3,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Cost,Purchase the system outright,No,Somewhat interested,,,No,No,Driveway
01/25/2015 11:16:03 AM,20+ years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, energy star appliances","Yes, very interested",,"Yes, but I don't think it's cost effective",Cost,Purchase the system outright,No,Somewhat interested,,,No,No,Driveway
01/24/2015 03:11:00 PM,2-5 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Purchase the system outright,No,Somewhat interested,,,No,No,Driveway
01/09/2015 01:01:36 PM,10-15 years,Own,Single family,,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,,Cost,would need to better underst,No,Somewhat interested,,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,No,Driveway
01/09/2015 11:05:31 AM,15-20 years,Own,Condo,2,Yes,No,"Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,,No,Somewhat interested,,,No,No,Driveway
01/09/2015 01:43:19 PM,10-15 years,Rent,,,Yes,No,"Shut off lights when not in use, use public transportation; set the thermostat to ~65; no air conditioner in the summer",,,That is for my landlord to decide,,,No,Somewhat interested,,,No,No,Driveway
01/24/2015 04:56:08 PM,10-15 years,Own,Multi-family (1-4 units),,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, I need to learn more",Cost,Purchase the system outright,No,Somewhat interested,No,"Planning & Zoning, Financing Options",Hybrid,Yes,Driveway
01/24/2015 03:17:34 PM,2-5 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Don't know enough,"Maybe, let's talk",Somewhat interested,,Interconnection & Net Metering,Hybrid,Yes,Driveway
01/31/2015 10:06:07 AM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested",,"No, I already have solar PV",,Lease the system,"Maybe, let's talk",Somewhat interested,No,,No,Yes,Driveway
01/25/2015 03:08:22 PM,20+ years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,,"Maybe, let's talk",Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:50:50 AM,15-20 years,Rent,,,,,,,,,,,Yes,Very interested,Yes,Financing Options,No,No,Driveway
01/08/2015 04:34:10 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think my roof is suitable",Having slate roof,don't know enough,No,Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/12/2015 03:13:57 PM,5-10 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Shut off lights when not in use, Building went through a gut rehab in 2011, prior to us moving in. The developer installed high efficiency heating systems, insulation and efficient windows, so our building is pretty current and up-to-date in terms of energy efficiency. It was a factor in us deciding to purchase the condo.","Yes, somewhat interested",,"Yes, but I don't think my roof is suitable",Cost AND lack of understanding AND concerns that savings might not outweigh costs,Don't know.,No,Somewhat interested,No,,No,Yes,Driveway
01/09/2015 04:55:54 PM,1-2 years,Own,Condo,4,Yes,No,"Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, I need to learn more",Coordinate w/condo,Lease the system,No,Somewhat interested,No,,No,Yes,Driveway
01/24/2015 02:33:45 PM,5-10 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,No,,No,Yes,Driveway
01/09/2015 10:29:44 AM,2-5 years,Rent,Multi-family (1-4 units),2,Yes,No,Shut off lights when not in use,"Yes, very interested",,Yes,being a renter,Purchase the system outright,No,Somewhat interested,No,,No,Yes,Driveway
01/24/2015 03:37:09 PM,15-20 years,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,Yes,Time to wrangle multiple contractors and bids,Purchase the system outright,No,Somewhat interested,No,"Permitting, Planning & Zoning",No,Yes,Driveway
01/12/2015 01:35:37 PM,1-2 years,Own,Condo,4,Yes,No,"Installed a high efficiency hot water system, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think it's cost effective",Lack of understanding,,No,Somewhat interested,No,,No,Yes,Driveway
01/23/2015 09:24:52 PM,15-20 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Yes, but I don't think it's cost effective",Cost,Lease the system,No,Somewhat interested,Yes,,No,Yes,Driveway
01/09/2015 12:03:36 PM,15-20 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use, air sealing wherever possible","Yes, somewhat interested",No,Yes,Need new roof first.,Purchase the system outright,Yes,Somewhat interested,No,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/16/2015 10:40:59 AM,< 1 year,Rent,,,Yes,No,"Installed programmable thermostats, Shut off lights when not in use, Keep heat low","Yes, somewhat interested",,"Maybe, I need to learn more",Renter,,,Somewhat interested,No,,No,Yes,Driveway
01/24/2015 01:13:50 AM,20+ years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,Yes,Driveway
01/24/2015 01:56:16 PM,10-15 years,Own,Single family,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Yes, but I don't think my roof is suitable",Lack of understanding,Lease the system,"Maybe, let's talk",Somewhat interested,Yes,,No,Yes,Driveway
01/09/2015 10:31:28 AM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,No sure,"Maybe, let's talk",Somewhat interested,Yes,"Interconnection & Net Metering, Planning & Zoning",No,Yes,Driveway
01/09/2015 12:21:58 PM,1-2 years,Own,Condo,4,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,No,Lack of understanding,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 02:57:38 PM,5-10 years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use, air sealing","Yes, very interested",,Yes,Return on investment,Purchase the system outright,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:51:10 AM,15-20 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",all of the above,rent to own,"Maybe, let's talk",Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 11:32:21 AM,2-5 years,Own,Multi-family (1-4 units),2,Yes,Yes,"Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Yes, very interested",,Yes,Cost,,"Maybe, let's talk",Somewhat interested,Yes,Financing Options,No,Yes,Driveway
01/12/2015 10:29:24 AM,5-10 years,Rent,,2,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,renter,,"Maybe, let's talk",Very interested,Yes,,No,No,
01/24/2015 10:04:42 AM,2-5 years,Own,Condo,3,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,"Maybe, I need to learn more",Don't think condo association allows for / impact to roof ,Depends,No,Somewhat interested,Yes,"Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 12:09:37 PM,5-10 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed programmable thermostats, Shut off lights when not in use, Had MassSave do a full audit","Yes, very interested",,"Maybe, I need to learn more",ROI - tech doesn't quite seem to be efficient enough to justify the cost,depends on cost,No,Somewhat interested,Yes,,No,Yes,Driveway
01/24/2015 10:52:26 PM,2-5 years,Own,Single family,,Yes,No,"Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",No,Yes,Time to research and select,depends on the pricing & terms,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/27/2015 07:19:03 PM,20+ years,Own,Multi-family (1-4 units),,Yes,Yes,"Had your home insulated, Installed a high efficiency hot water system, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use, Keep heat as low as possible; shut off one area of house with a separate thermostat when not in use","Yes, very interested",,Historic house--wouldn't it show from the street?,Historic house,Don't know enough about it,No,Somewhat interested,Yes,"Planning & Zoning, Financing Options",No,Yes,Driveway
01/24/2015 07:41:30 PM,2-5 years,Own,Multi-family (1-4 units),,Yes,No,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/08/2015 02:52:49 PM,15-20 years,Own,Single family,,Yes,Yes,"Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,Yes,,No,Yes,Driveway
01/23/2015 12:29:31 PM,2-5 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Maybe, I need to learn more",Cost,Lease the system,No,Somewhat interested,Yes,,No,Yes,Driveway
02/06/2015 01:50:45 PM,15-20 years,Own,Single family,,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats","Yes, very interested",,Yes,Cost,Lease the system,No,Somewhat interested,Yes,,No,Yes,Driveway
01/09/2015 11:58:37 AM,5-10 years,Rent,,,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,Yes,Cost,Lease the system,No,Somewhat interested,Yes,"Interconnection & Net Metering, Financing Options",No,Yes,Driveway
01/09/2015 10:32:01 AM,2-5 years,Own,Condo,2,Yes,No,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Lease the system,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/26/2015 02:17:14 PM,5-10 years,Own,Condo,2,Yes,Yes,"Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",No,"Yes, but I don't think it's cost effective",Lack of understanding,Lease the system,No,Somewhat interested,Yes,"Permitting, Interconnection & Net Metering, Planning & Zoning, Financing Options",No,Yes,Driveway
01/09/2015 09:30:40 PM,5-10 years,Own,Condo,2,Yes,Yes,"Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Maybe, I need to learn more",Lack of understanding,Need to learn more,No,Somewhat interested,Yes,,No,Yes,Driveway
